citing_paper,.out,time_unit,Species
"CORDELL, LS
   UPHAM, S
   BROCK, SL 1987 OBSCURING CULTURAL-PATTERNS IN THE ARCHAEOLOGICAL RECORD - A DISCUSSION
   FROM SOUTHWESTERN ARCHAEOLOGY AMERICAN ANTIQUITY",BINFORD LEWIS R 1981 J ANTHROPOL RES V37 P195,1987,community 12
"CORDELL, LS
   UPHAM, S
   BROCK, SL 1987 OBSCURING CULTURAL-PATTERNS IN THE ARCHAEOLOGICAL RECORD - A DISCUSSION
   FROM SOUTHWESTERN ARCHAEOLOGY AMERICAN ANTIQUITY",CLARKE D L 1968 ANAL ARCHAEOLOGY,1987,community 5
"CORDELL, LS
   UPHAM, S
   BROCK, SL 1987 OBSCURING CULTURAL-PATTERNS IN THE ARCHAEOLOGICAL RECORD - A DISCUSSION
   FROM SOUTHWESTERN ARCHAEOLOGY AMERICAN ANTIQUITY",SCHIFFER MB 1985 J ANTHROPOL RES V41 P18,1987,community 12
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",BINFORD L 1981 BONES ANCIENT MEN MO,1987,community 4
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",BINFORD LR 1979 J ANTHROPOL RES V35 P255,1987,community 4
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",BINFORD LR 1962 AM ANTIQUITY V28 P217 DOI 102307278380,1987,community 5
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",BINFORD LR 1965 AM ANTIQUITY V31 P203 DOI 1023072693985,1987,community 5
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",BINFORD LR 1980 AM ANTIQUITY V45 P4 DOI 102307279653,1987,community 4
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",BOURDIEU PIERRE 1977 OUTLINE THEORY PRACT,1987,community 1
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",BOYD R 1985 CULTURE EVOLUTIONARY,1987,community 2
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",CLARKE D L 1968 ANAL ARCHAEOLOGY,1987,community 5
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",DEETZ J 1977 SMALL THINGS FORGOTT,1987,community 13
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",GIDDENS A 1979 CENTRAL PROBLEMS SOC,1987,community 1
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",GLASSIE H 1975 FOLK HOUSING MIDDLE,1987,community 13
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",HODDER IAN 1982 SYMBOLIC STRUCTURAL,1987,community 5
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",SCHIFFER MB 1972 AM ANTIQUITY V37 P156 DOI 102307278203,1987,community 12
"EARLE, TK
   PREUCEL, RW 1987 PROCESSUAL ARCHAEOLOGY AND THE RADICAL CRITIQUE CURRENT ANTHROPOLOGY",TRIGGER BG 1984 MAN V19 P355 DOI 1023072802176,1987,community 5
"LEONARD, RD
   JONES, GT 1987 ELEMENTS OF AN INCLUSIVE EVOLUTIONARY MODEL FOR ARCHAEOLOGY JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY",BOYD R 1985 CULTURE EVOLUTIONARY,1987,community 2
"LEONARD, RD
   JONES, GT 1987 ELEMENTS OF AN INCLUSIVE EVOLUTIONARY MODEL FOR ARCHAEOLOGY JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY",CAVALLISFORZA L L 1981 CULTURAL TRANSMISSIO,1987,community 2
"LEONARD, RD
   JONES, GT 1987 ELEMENTS OF AN INCLUSIVE EVOLUTIONARY MODEL FOR ARCHAEOLOGY JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY",DUNNELL RC 1978 AM ANTIQUITY V43 P192 DOI 102307279244,1987,community 2
"SMITH, ME 1987 ARCHAEOLOGY AND THE AZTEC ECONOMY - THE SOCIAL SCIENTIFIC USE OF
   ARCHAEOLOGICAL DATA SOCIAL SCIENCE HISTORY",DEETZ J 1977 SMALL THINGS FORGOTT,1987,community 13
"HALL, M 1987 ARCHAEOLOGY AND MODES OF PRODUCTION IN PRE-COLONIAL SOUTHERN-AFRICA JOURNAL OF SOUTHERN AFRICAN STUDIES",BOURDIEU PIERRE 1977 OUTLINE THEORY PRACT,1987,community 1
"HALL, M 1987 ARCHAEOLOGY AND MODES OF PRODUCTION IN PRE-COLONIAL SOUTHERN-AFRICA JOURNAL OF SOUTHERN AFRICAN STUDIES",HODDER I 1982 SYMBOLS ACTION ETHNO,1987,community 5
"HALL, M 1987 ARCHAEOLOGY AND MODES OF PRODUCTION IN PRE-COLONIAL SOUTHERN-AFRICA JOURNAL OF SOUTHERN AFRICAN STUDIES",HUFFMAN TN 1982 ANNU REV ANTHROPOL V11 P133 DOI 101146ANNUREVAN11100182001025,1987,community 10
"SMITH, ME 1987 HOUSEHOLD POSSESSIONS AND WEALTH IN AGRARIAN STATES - IMPLICATIONS FOR
   ARCHAEOLOGY JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY",APPADURAI ARJUN 1986 SOCIAL LIFE THINGS C P3 DOI DOI 101017CBO9780511819582,1987,community 1
"SMITH, ME 1987 HOUSEHOLD POSSESSIONS AND WEALTH IN AGRARIAN STATES - IMPLICATIONS FOR
   ARCHAEOLOGY JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY",ARNOLD DEAN E 1985 CERAMIC THEORY CULTU,1987,community 17
"MOUSSETTE, M 1988 ARCHAEOLOGY AND MATERIAL CHANGE, 18TH-20TH-CENTURIES ANNALES DE BRETAGNE ET DES PAYS DE L OUEST",BINFORD LR 1962 AM ANTIQUITY V28 P217 DOI 102307278380,1988,community 5
"DEETZ, J 1988 AMERICAN HISTORICAL ARCHAEOLOGY - METHODS AND RESULTS SCIENCE",DEETZ J 1977 SMALL THINGS FORGOTT,1988,community 13
"LDING, AC 1988 DISTINGUISHED LECTURE - ARCHAEOLOGY AND ANTHROPOLOGY AMERICAN ANTHROPOLOGIST",BINFORD LR 1962 AM ANTIQUITY V28 P217 DOI 102307278380,1988,community 5
"LDING, AC 1988 DISTINGUISHED LECTURE - ARCHAEOLOGY AND ANTHROPOLOGY AMERICAN ANTHROPOLOGIST",BINFORD LR 1965 AM ANTIQUITY V31 P203 DOI 1023072693985,1988,community 5
"LDING, AC 1988 DISTINGUISHED LECTURE - ARCHAEOLOGY AND ANTHROPOLOGY AMERICAN ANTHROPOLOGIST",CLARKE D L 1968 ANAL ARCHAEOLOGY,1988,community 5
"SCHRIRE, C 1988 THE HISTORICAL ARCHAEOLOGY OF THE IMPACT OF COLONIALISM IN 17TH-CENTURY
   SOUTH-AFRICA ANTIQUITY",DEETZ J 1977 SMALL THINGS FORGOTT,1988,community 13
"JONES, KT
   METCALFE, D 1988 BARE BONES ARCHAEOLOGY - BONE-MARROW INDEXES AND EFFICIENCY JOURNAL OF ARCHAEOLOGICAL SCIENCE",BINFORD L 1981 BONES ANCIENT MEN MO,1988,community 4
"JONES, KT
   METCALFE, D 1988 BARE BONES ARCHAEOLOGY - BONE-MARROW INDEXES AND EFFICIENCY JOURNAL OF ARCHAEOLOGICAL SCIENCE",BINFORD L 1978 NUNAMIUT ETHNOARCHAE,1988,community 4
"SHERRATT, A
   SHERRATT, S 1988 THE ARCHAEOLOGY OF INDO-EUROPEAN - AN ALTERNATIVE VIEW ANTIQUITY",CLARKE D L 1968 ANAL ARCHAEOLOGY,1988,community 5
"RISSMAN, P 1988 PUBLIC DISPLAYS AND PRIVATE VALUES - A GUIDE TO BURIED WEALTH IN
   HARAPPAN ARCHAEOLOGY WORLD ARCHAEOLOGY",GIDDENS A 1979 CENTRAL PROBLEMS SOC,1988,community 1
"BENKO, L
   HORVATH, F
   HORVATINCIC, N
   OBELIC, B 1989 RADIOCARBON AND THERMOLUMINESCENCE DATING OF PREHISTORIC SITES IN
   HUNGARY AND YUGOSLAVIA RADIOCARBON",MEJDAHL V 1979 ARCHAEOMETRY V21 P61 DOI 101111J147547541979TB00241X,1989,community 7
"RENFREW, C 1989 MODELS OF CHANGE IN LANGUAGE AND ARCHAEOLOGY TRANSACTIONS OF THE PHILOLOGICAL SOCIETY",HODDER I 1982 SYMBOLS ACTION ETHNO,1989,community 5
"STANISH, C 1989 HOUSEHOLD ARCHAEOLOGY - TESTING MODELS OF ZONAL COMPLEMENTARITY IN THE
   SOUTH CENTRAL ANDES AMERICAN ANTHROPOLOGIST",WILK RR 1982 AM BEHAV SCI V25 P617 DOI 101177000276482025006003,1989,community 35
"HOUSTON, SD 1989 ARCHAEOLOGY AND MAYA WRITING JOURNAL OF WORLD PREHISTORY",GLASSIE H 1975 FOLK HOUSING MIDDLE,1989,community 13
"BORRERO, LA 1989 RESTATEMENT OF PATAGONIA ARCHAEOLOGY INTERCIENCIA",BINFORD L 1981 BONES ANCIENT MEN MO,1989,community 4
"BORRERO, LA 1989 RESTATEMENT OF PATAGONIA ARCHAEOLOGY INTERCIENCIA",BINFORD LR 1980 AM ANTIQUITY V45 P4 DOI 102307279653,1989,community 4
"HANKS, CC
   POKOTYLO, DL 1989 THE MACKENZIE BASIN - AN ALTERNATIVE APPROACH TO DENE AND METIS
   ARCHAEOLOGY ARCTIC",BINFORD LR 1980 AM ANTIQUITY V45 P4 DOI 102307279653,1989,community 4
"MITHEN, S 1989 EVOLUTIONARY-THEORY AND POST-PROCESSUAL ARCHAEOLOGY ANTIQUITY",SHANKS M 1987 SOCIAL THEORY ARCHAE,1989,community 5
"MITHEN, S 1989 EVOLUTIONARY-THEORY AND POST-PROCESSUAL ARCHAEOLOGY ANTIQUITY",SHANKS M 1987 RECONSTRUCTING ARCHA,1989,community 5
"LITTLE, BJ
   SHACKEL, PA 1989 SCALES OF HISTORICAL ANTHROPOLOGY - AN ARCHAEOLOGY OF COLONIAL
   ANGLO-AMERICA ANTIQUITY",BOURDIEU PIERRE 1977 OUTLINE THEORY PRACT,1989,community 1
"LITTLE, BJ
   SHACKEL, PA 1989 SCALES OF HISTORICAL ANTHROPOLOGY - AN ARCHAEOLOGY OF COLONIAL
   ANGLO-AMERICA ANTIQUITY",DEETZ J 1977 SMALL THINGS FORGOTT,1989,community 13
"LITTLE, BJ
   SHACKEL, PA 1989 SCALES OF HISTORICAL ANTHROPOLOGY - AN ARCHAEOLOGY OF COLONIAL
   ANGLO-AMERICA ANTIQUITY",SHANKS M 1987 RECONSTRUCTING ARCHA,1989,community 5
"SKIBO, JM
   SCHIFFER, MB
   KOWALSKI, N 1989 CERAMIC STYLE ANALYSIS IN ARCHAEOLOGY AND ETHNOARCHAEOLOGY - BRIDGING
   THE ANALYTICAL GAP JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY",HODDER IAN 1982 SYMBOLIC STRUCTURAL,1989,community 5
"SKIBO, JM
   SCHIFFER, MB
   KOWALSKI, N 1989 CERAMIC STYLE ANALYSIS IN ARCHAEOLOGY AND ETHNOARCHAEOLOGY - BRIDGING
   THE ANALYTICAL GAP JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY",HODDER I 1982 SYMBOLS ACTION ETHNO,1989,community 5
"SKIBO, JM
   SCHIFFER, MB
   KOWALSKI, N 1989 CERAMIC STYLE ANALYSIS IN ARCHAEOLOGY AND ETHNOARCHAEOLOGY - BRIDGING
   THE ANALYTICAL GAP JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY",RICE P M 1987 POTTERY ANAL SOURCEB,1989,community 17
"SKIBO, JM
   SCHIFFER, MB
   KOWALSKI, N 1989 CERAMIC STYLE ANALYSIS IN ARCHAEOLOGY AND ETHNOARCHAEOLOGY - BRIDGING
   THE ANALYTICAL GAP JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY",SCHIFFER MB 1985 J ANTHROPOL RES V41 P18,1989,community 12
"SKIBO, JM
   SCHIFFER, MB
   KOWALSKI, N 1989 CERAMIC STYLE ANALYSIS IN ARCHAEOLOGY AND ETHNOARCHAEOLOGY - BRIDGING
   THE ANALYTICAL GAP JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY",SCHIFFER M B 1987 FORMATION PROCESSES,1989,community 12
"LOUBSER, J 1990 ORAL TRADITIONS, ARCHAEOLOGY AND THE HISTORY OF VENDA MITUPO AFRICAN STUDIES",HUFFMAN TN 1986 ADV WORLD ARCHAEOLOG P291,1990,community 10
"JIA, LP
   HO, CK 1990 NEW LIGHT ON CHINESE PALEOLITHIC ARCHAEOLOGY ANTHROPOLOGIE",CLARKE D L 1968 ANAL ARCHAEOLOGY,1990,community 5
"MACPHAIL, RI
   COURTY, MA
   GOLDBERG, P 1990 SOIL MICROMORPHOLOGY IN ARCHAEOLOGY ENDEAVOUR",BULLOCK P 1985 HDB SOIL THIN SECTIO,1990,community 11
"MACPHAIL, RI
   COURTY, MA
   GOLDBERG, P 1990 SOIL MICROMORPHOLOGY IN ARCHAEOLOGY ENDEAVOUR",COURTY M A 1989 SOILS MICROMORPHOLOG,1990,community 11
"OSTROM, PH
   MACKO, SA
   ENGEL, MH
   SILFER, JA
   RUSSELL, D 1990 GEOCHEMICAL CHARACTERIZATION OF HIGH-MOLECULAR-WEIGHT MATERIAL ISOLATED
   FROM LATE CRETACEOUS FOSSILS ORGANIC GEOCHEMISTRY",DENIRO MJ 1987 AM SCI V75 P182,1990,community 3
"OSTROM, PH
   MACKO, SA
   ENGEL, MH
   SILFER, JA
   RUSSELL, D 1990 GEOCHEMICAL CHARACTERIZATION OF HIGH-MOLECULAR-WEIGHT MATERIAL ISOLATED
   FROM LATE CRETACEOUS FOSSILS ORGANIC GEOCHEMISTRY",DENIRO MJ 1985 NATURE V317 P806 DOI 101038317806A0,1990,community 3
"OSTROM, PH
   MACKO, SA
   ENGEL, MH
   SILFER, JA
   RUSSELL, D 1990 GEOCHEMICAL CHARACTERIZATION OF HIGH-MOLECULAR-WEIGHT MATERIAL ISOLATED
   FROM LATE CRETACEOUS FOSSILS ORGANIC GEOCHEMISTRY",SCHOENINGER MJ 1983 SCIENCE V220 P1381 DOI 101126SCIENCE6344217,1990,community 3
"OSTROM, PH
   MACKO, SA
   ENGEL, MH
   SILFER, JA
   RUSSELL, D 1990 GEOCHEMICAL CHARACTERIZATION OF HIGH-MOLECULAR-WEIGHT MATERIAL ISOLATED
   FROM LATE CRETACEOUS FOSSILS ORGANIC GEOCHEMISTRY",VANDERMERWE NJ 1982 AM SCI V70 P596,1990,community 3
"VEIT, U 1990 CULTURAL AND ANTHROPOLOGICAL PERSPECTIVES OF RESEARCH OF PRIMEVAL,
   HISTORIC TIMES, PRELIMINARY-OBSERVATIONS ON THE STUDIES SAECULUM",BINFORD LR 1962 AM ANTIQUITY V28 P217 DOI 102307278380,1990,community 5
"VEIT, U 1990 CULTURAL AND ANTHROPOLOGICAL PERSPECTIVES OF RESEARCH OF PRIMEVAL,
   HISTORIC TIMES, PRELIMINARY-OBSERVATIONS ON THE STUDIES SAECULUM",HODDER IAN 1982 SYMBOLIC STRUCTURAL,1990,community 5
"VEIT, U 1990 CULTURAL AND ANTHROPOLOGICAL PERSPECTIVES OF RESEARCH OF PRIMEVAL,
   HISTORIC TIMES, PRELIMINARY-OBSERVATIONS ON THE STUDIES SAECULUM",HODDER I 1982 SYMBOLS ACTION ETHNO,1990,community 5
"VEIT, U 1990 CULTURAL AND ANTHROPOLOGICAL PERSPECTIVES OF RESEARCH OF PRIMEVAL,
   HISTORIC TIMES, PRELIMINARY-OBSERVATIONS ON THE STUDIES SAECULUM",SHANKS M 1987 SOCIAL THEORY ARCHAE,1990,community 5
"VEIT, U 1990 CULTURAL AND ANTHROPOLOGICAL PERSPECTIVES OF RESEARCH OF PRIMEVAL,
   HISTORIC TIMES, PRELIMINARY-OBSERVATIONS ON THE STUDIES SAECULUM",SHANKS M 1987 RECONSTRUCTING ARCHA,1990,community 5
"VEIT, U 1990 CULTURAL AND ANTHROPOLOGICAL PERSPECTIVES OF RESEARCH OF PRIMEVAL,
   HISTORIC TIMES, PRELIMINARY-OBSERVATIONS ON THE STUDIES SAECULUM",TRIGGER BG 1984 MAN V19 P355 DOI 1023072802176,1990,community 5
"VEIT, U 1990 CULTURAL AND ANTHROPOLOGICAL PERSPECTIVES OF RESEARCH OF PRIMEVAL,
   HISTORIC TIMES, PRELIMINARY-OBSERVATIONS ON THE STUDIES SAECULUM",TRIGGER B G 1989 HIST ARCHAEOLOGICAL,1990,community 5
"TRIGGER, BG 1990 EVOLUTIONISM AND ECOLOGY, ARCHAEOLOGY AND THE DREAMS OF
   WESTERN-CIVILIZATION SAECULUM",BINFORD LR 1962 AM ANTIQUITY V28 P217 DOI 102307278380,1990,community 5
"TRIGGER, BG 1990 EVOLUTIONISM AND ECOLOGY, ARCHAEOLOGY AND THE DREAMS OF
   WESTERN-CIVILIZATION SAECULUM",BINFORD LR 1965 AM ANTIQUITY V31 P203 DOI 1023072693985,1990,community 5
"TRIGGER, BG 1990 EVOLUTIONISM AND ECOLOGY, ARCHAEOLOGY AND THE DREAMS OF
   WESTERN-CIVILIZATION SAECULUM",SHANKS M 1987 SOCIAL THEORY ARCHAE,1990,community 5
"TRIGGER, BG 1990 EVOLUTIONISM AND ECOLOGY, ARCHAEOLOGY AND THE DREAMS OF
   WESTERN-CIVILIZATION SAECULUM",SHANKS M 1987 RECONSTRUCTING ARCHA,1990,community 5
"TRIGGER, BG 1990 EVOLUTIONISM AND ECOLOGY, ARCHAEOLOGY AND THE DREAMS OF
   WESTERN-CIVILIZATION SAECULUM",TRIGGER B G 1989 HIST ARCHAEOLOGICAL,1990,community 5
"GIBBINS, D 1990 ANALYTICAL APPROACHES IN MARITIME ARCHAEOLOGY - A MEDITERRANEAN
   PERSPECTIVE ANTIQUITY",BINFORD L 1981 BONES ANCIENT MEN MO,1990,community 4
"GIBBINS, D 1990 ANALYTICAL APPROACHES IN MARITIME ARCHAEOLOGY - A MEDITERRANEAN
   PERSPECTIVE ANTIQUITY",BINFORD L 1978 NUNAMIUT ETHNOARCHAE,1990,community 4
"GIBBINS, D 1990 ANALYTICAL APPROACHES IN MARITIME ARCHAEOLOGY - A MEDITERRANEAN
   PERSPECTIVE ANTIQUITY",CLARKE D L 1968 ANAL ARCHAEOLOGY,1990,community 5
"MALAN, A 1990 THE ARCHAEOLOGY OF PROBATE INVENTORIES SOCIAL DYNAMICS-A JOURNAL OF THE CENTRE FOR AFRICAN STUDIES UNIVERSITY
   OF CAPE TOWN",DEETZ J 1977 SMALL THINGS FORGOTT,1990,community 13
"MALAN, A 1990 THE ARCHAEOLOGY OF PROBATE INVENTORIES SOCIAL DYNAMICS-A JOURNAL OF THE CENTRE FOR AFRICAN STUDIES UNIVERSITY
   OF CAPE TOWN",GLASSIE H 1975 FOLK HOUSING MIDDLE,1990,community 13
"CHIPPINDALE, C 1990 THEORETICAL ARCHAEOLOGY GROUP - 11TH CONFERENCE CURRENT ANTHROPOLOGY",SHANKS M 1987 SOCIAL THEORY ARCHAE,1990,community 5
"CHIPPINDALE, C 1990 THEORETICAL ARCHAEOLOGY GROUP - 11TH CONFERENCE CURRENT ANTHROPOLOGY",SHANKS M 1987 RECONSTRUCTING ARCHA,1990,community 5
"WATSON, PJ
   FOTIADIS, M 1990 THE RAZORS EDGE - SYMBOLIC-STRUCTURALIST ARCHAEOLOGY AND THE EXPANSION
   OF ARCHAEOLOGICAL INFERENCE AMERICAN ANTHROPOLOGIST",DEETZ J 1977 SMALL THINGS FORGOTT,1990,community 13
"WATSON, PJ
   FOTIADIS, M 1990 THE RAZORS EDGE - SYMBOLIC-STRUCTURALIST ARCHAEOLOGY AND THE EXPANSION
   OF ARCHAEOLOGICAL INFERENCE AMERICAN ANTHROPOLOGIST",GLASSIE H 1975 FOLK HOUSING MIDDLE,1990,community 13
"WATSON, PJ
   FOTIADIS, M 1990 THE RAZORS EDGE - SYMBOLIC-STRUCTURALIST ARCHAEOLOGY AND THE EXPANSION
   OF ARCHAEOLOGICAL INFERENCE AMERICAN ANTHROPOLOGIST",HODDER IAN 1982 SYMBOLIC STRUCTURAL,1990,community 5
